,Drug_Name,Uses,Image URL,Manufacturer,Rating,Route_of_Administration
5437,Renogard Keto Tablet,Chronic kidney,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/gennjlda9ofo3tsbrxpx.jpg",Stanwell Lifesciences Pvt Ltd,3.34,Tablet
5438,Hep 25 Injection,Blood clots,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/94e6c6b815a24af08c3a40381175f2ca.jpg",Gland Pharma Limited,3.34,Injection
5439,Emeset Injection 4ml,Nausea Vomiting,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/f6b073baa1ca4da792847ee304110f7e.jpg",Cipla Ltd,3.34,4ml
5440,Vobose 0.2 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/xzsqzon8q6a3bmazasr1.jpg",USV Ltd,3.34,Tablet
5441,Eflo Eye Drop,Redness swelling eye,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3251c807128f4d9b96760c046674b828.jpg",Entod Pharmaceuticals Ltd,3.34,Drop
5442,Lymzit 408mg Capsule,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3d0316032ff8421195afa47089d50793.jpg",Brinton Pharmaceuticals Pvt Ltd,3.34,Capsule
5443,Budetrol 400 Inhaler,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/z3kwspesmi6n3s7cf41u.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,Inhaler
5444,Xerofung 100 Capsule,Fungal infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qsdsxegohhkyjdea47qd.jpg",Dermajoint India,3.34,Capsule
5445,Tenovate Ointment,Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/Tenovate_0.05_Ointment-15.0gm-tube-1.jpg",Glaxo SmithKline Pharmaceuticals Ltd,3.34,Ointment
5446,Sotret 20mg Capsule,Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ltdl7btq5rnfpmihoahk.jpg",Sun Pharmaceutical Industries Ltd,3.34,Capsule
5447,Eyemist Gel,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/bdvhhvq1eghz3vilbrfq.jpg",Sun Pharmaceutical Industries Ltd,3.34,Gel
5448,Kinlax Oral Suspension Mint Sugar Free,Constipation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ryegxgca6sie9znouocl.jpg",Saffron Therapeutics Pvt Ltd,3.34,Free
5449,Macflox Tablet,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/k6uqtmsq3ydbfilz7c31.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,Tablet
5450,Noblok Drop,Common cold,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/7150c0b608cc43329c30f8836065b259.jpg",Mankind Pharma Ltd,3.34,Drop
5451,Glyciphage-G 2 Tablet PR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/f7f675dbe2a8462ba8c110bad862d566.jpg",Franco-Indian Pharmaceuticals Pvt Ltd,3.34,PR
5452,Insugen-R 100IU/ml Refil,Diabetes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/abhqbuw0cy5wq5z1ddvp.jpg",Biocon,3.34,Refil
5453,Momoz S Ointment,Eczema Psoriasis,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d2cde185c234413990fa9b56f8247c4c.jpg",Torrent Pharmaceuticals Ltd,3.34,Ointment
5454,Baclof OD 30 Tablet ER,Muscle relaxation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/26ff81ffe2a946e0a8c765c5e83b3152.jpg",Intas Pharmaceuticals Ltd,3.34,ER
5455,Endokine 300mcg Injection,Infections after chemotherapy,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/u9rmj3gcwdzqozecqoi6.jpg",Intas Pharmaceuticals Ltd,3.34,Injection
5456,Efnocar 20 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wtl6ovlddbvdn9mp2hde.jpg",Zuventus Healthcare Ltd,3.34,Tablet
5457,Xylone Adult Nasal Spray,Nasal congestion (blocked nose),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dqgortvs9zhmz2b26g2c.jpg",West-Coast Pharmaceutical Works Ltd,3.34,Spray
5458,Zerodol-SP Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lgixlqxumpihdtbmvwyb.jpg",Ipca Laboratories Ltd,3.34,Tablet
5459,Reziz Suspension,Malaria,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/koiea1ruzeqixdenzwuv.jpg",Shreya Life Sciences Pvt Ltd,3.34,Suspension
5460,Moxocard 0.3 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dc7lzrwwvczxzbt0tj05.jpg",Lupin Ltd,3.34,Tablet
5461,Tellzy-AM Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ywz27gnfbff9zdlu1uhy.jpg",Alembic Pharmaceuticals Ltd,3.34,Tablet
5462,Valrate CR 300 Tablet,Epilepsy,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/yw05eqhn4xozsakr0p9y.jpg",Ipca Laboratories Ltd,3.34,Tablet
5463,Metolar TL 25 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/886b94802ca24a66adbe439174b7ac11.jpg",Cipla Ltd,3.34,Tablet
5464,Salbair-B Transhaler,Asthma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/igyxzrud565psouimkcb.jpg",Lupin Ltd,3.34,Transhaler
5465,Roseday-F 10 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lidaitelrrw6fsdlo72w.jpg",USV Ltd,3.34,Tablet
5466,Levomil 20 Capsule ER,Depression,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/hwltj8rqpnmzimw3dfpb.jpg",Intas Pharmaceuticals Ltd,3.34,ER
5467,Acnex 20 Capsule,Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/h9u8p7jmjfklggcbxevk.jpg",Torrent Pharmaceuticals Ltd,3.34,Capsule
5468,Acivir 200 DT Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/h2bvejnyzujiz6be9mbm.jpg",Cipla Ltd,3.34,Tablet
5469,Levocet Tablet,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/upq3dejiuxesus1jqcom.jpg",Hetero Healthcare Limited,3.34,Tablet
5470,Gliptagreat M 1000 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/8d3b6fae6fdd4297a33a6d823e6c3973.jpg",Mankind Pharma Ltd,3.34,Tablet
5471,Vomistop Tablet,IndigestionTreatment NauseaTreatment Vomiting,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vryrkrv5chzeyiqwizfh.jpg",Cipla Ltd,3.34,Tablet
5472,LTK 50 Tablet,Hypertension (high blood pressure) Heart failure heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/8100640bd26b4546829265d1937ac224.jpg",Unison Pharmaceuticals Pvt Ltd,3.34,Tablet
5473,Nicip MR Tablet,Pain muscle spasm,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a2569e1661d8449eb59446a3e34fe9c0.jpg",Cipla Ltd,3.34,Tablet
5474,Amlopres TL Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/adzllpewnzw87iuuwwxl.jpg",Cipla Ltd,3.34,Tablet
5475,Eptoin Injection,Epilepsy/Seizures,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/7d83377e5f96405a85bbcd1af253445c.jpg",Abbott,3.34,Injection
5476,Malirid 7.5mg Tablet,Malaria,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/7f0e9b63783949d090d6fac0d24dd1c0.jpg",Ipca Laboratories Ltd,3.34,Tablet
5477,Enzoheal Forte Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ledzvsmrnzp8taog2z9j.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,Tablet
5478,Tenuvia Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/74628e61a31044b28af90b08bf22853f.jpg",Precia Pharma,3.34,Tablet
5479,Geminor MP 1 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/715f00cc10954956a688fff3137495d1.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,SR
5480,Lecope Syrup,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wbxzxi0pu2i7edcvernu.jpg",Mankind Pharma Ltd,3.34,Syrup
5481,Xylocaine 2% Jelly,Local anesthesia (Numb tissues a specific area),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/aaobemqylb16kviwkgws.jpg",Zydus Cadila,3.34,Jelly
5482,Luliclinz-XL Cream,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/55c13ae0a1ed44ad80839761ca85a71d.jpg",Canixa Life Sciences Pvt,3.34,Cream
5483,Moxicip Tablet,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/nkhapf5gpmyuctwxpdhz.jpg",Cipla Ltd,3.34,Tablet
5484,Rosumac CV 10 Capsule,Heart attack high cholesterol,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/0d9af48e7f6e42db98c2ed089ba0e845.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,Capsule
5485,Norad 2mg Injection,Low blood pressure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3a8daf87b43d4388a4e22d8cd051aa41.jpg",Neon Laboratories Ltd,3.34,Injection
5486,Levosiz 10 Tablet,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/aaefbfda661540f3bee57730e18d5412.jpg",Systopic Laboratories Pvt Ltd,3.34,Tablet
5487,Itaspor-SB Capsule,Fungal infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c90b74b2e6304baba64cd94d8f21d979.jpg",Intas Pharmaceuticals Ltd,3.34,Capsule
5488,Tear Drops Gel,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jswl6mgtltbxzqqkinwf.jpg",Sun Pharmaceutical Industries Ltd,3.34,Gel
5489,Tripin OM 40 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/yermhahmfsfd26cejadv.jpg",Lupin Ltd,3.34,Tablet
5490,Rosave F 10 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/5d728be8b1eb4c78aa1ea89f87744ec5.jpg",Alembic Pharmaceuticals Ltd,3.34,Tablet
5491,Targocid 400mg Injection,Severe bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/2898c53fbd694684934c08fdbc8211fa.jpg",Sanofi India Ltd,3.34,Injection
5492,Terbicort-Total Cream,Dermatitis Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/opizefm0kruz33ye3tew.png",Suncare Formulations Pvt Ltd,3.34,Cream
5493,Megaheal Spray,Wound infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b0b510170ee548e29b15f3581eb23196.jpg",Aristo Pharmaceuticals Pvt Ltd,3.34,Spray
5494,Apetamin Syrup,Allergic conditions Appetite stimulant,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/tdr6fwcjloax1va4pyep.jpg",Tablets India Limited,3.34,Syrup
5495,Mahaflox 0.5% Eye Drop,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a7ab1de722b74013ba350fdd16294061.jpg",Mankind Pharma Ltd,3.34,Drop
5496,Lipirose 20 Tablet,High cholesterol heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/dn3e9ocjzjnin7g2pavl.jpg",Mankind Pharma Ltd,3.34,Tablet
5497,Momate Cream,Skin conditions with inflammation & itching,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/hy7ebovfsxscrk85bki4.jpg",Glenmark Pharmaceuticals Ltd,3.34,Cream
5498,Gabawin 25 M Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/sn1vfbxm1gm35b63hsmu.jpg",Icon Life Sciences,3.34,Tablet
5499,Liketears Plus Eye Drop,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/xihzvwjyaspslcu9dkpz.jpg",Eyekare Kilitch Limited,3.34,Drop
5500,Gcolate 1mg Tablet,General Anaesthesia Peptic ulcer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/udv9s3dqhqsrvnf0l6fy.jpg",Icon Life Sciences,3.34,Tablet
5501,Paraxin 500 Capsule,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rxdak3nedarjkbkovft6.jpg",Abbott,3.34,Capsule
5502,Zeptol CR 300 Tablet,Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/tfpo0f193ebznyaf9tds.jpg",Sun Pharmaceutical Industries Ltd,3.34,Tablet
5503,Levolin 2 Tablet,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qlvpvuj9teieicrogen2.jpg",Cipla Ltd,3.34,Tablet
5504,Resodim 15 Tablet,Low levels sodium blood,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jtwadhjswqkfjqqjkkzt.jpg",Lupin Ltd,3.34,Tablet
5505,O2 Derm Cream,Skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/5730a2cf445941f39dd5c35fc4d2dc6c.jpg",Medley Pharmaceuticals,3.34,Cream
5506,Gestofit 400 Soft Gelatin Capsule,Hormone replacement therapy Female infertility,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/tp3ate2uu05i1z2alfti.jpg",Alembic Pharmaceuticals Ltd,3.34,Capsule
5507,Starcad-Beta 25 Tablet ER,Hypertension (high blood pressure) Angina (heart-related chest pain) ArrhythmiaPrevention Heart attackPrevention StrokePrevention Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/nkgtmtewkie6vwwnbdn2.jpg",Lupin Ltd,3.34,ER
5508,Tamica 40 Tablet,Hypertension (high blood pressure) heart attack strokeTreatment Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/746d7b17ef2c48c2be6ad08f9b0bed93.jpg",Alkem Laboratories Ltd,3.34,Tablet
5509,Montek AB Tablet SR,Chronic obstructive pulmonary (COPD) Sneezing runny nose allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/agtrsjjchhq79zwvopgl.jpg",Sun Pharmaceutical Industries Ltd,3.34,SR
5510,Tellzy 20 Tablet,Hypertension (high blood pressure) heart attack strokeTreatment Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/j9caqgjf0b1kexnv7h83.jpg",Alembic Pharmaceuticals Ltd,3.34,Tablet
5511,Febrinil 650mg Tablet,Pain reliefTreatment Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e8brpfoi25r7lxycwhu2.jpg",Maneesh Pharmaceuticals Ltd,3.34,Tablet
5512,Depakote XR 250 Tablet,Epilepsy/SeizuresTreatment Bipolar disorderPrevention Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/r0udegwkx0wfohxwvxw9.jpg",Sanofi India Ltd,3.34,Tablet
5513,Triben AD Anti-Dandruff Lotion,Fungal skin infectionsTreatment Dandruff,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fuelkyly16dznvljaukn.jpg",Jenburkt Pharmaceuticals Ltd,3.34,Lotion
5514,Macsart AM Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/r7thprrvlg9efdgi8kvq.jpg",Macleods Pharmaceuticals Pvt Ltd,3.34,Tablet
5515,Lipicure Gold 40 Capsule,Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/qs6gwmu2dmockvo3ksg1.jpg",Intas Pharmaceuticals Ltd,3.34,Capsule
5516,Sofirash Cream,Sunburn,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ef19bf510a474a2887f61f2c32f24b83.jpg",KLM Laboratories Pvt Ltd,3.34,Cream
5517,Montek LC Kid Syrup,Sneezing runny nose allergiesTreatment Hay feverTreatment Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3cadc287-1153-4cda-bba9-69473616fb42.jpg",Sun Pharmaceutical Industries Ltd,3.34,Syrup
5518,Moxikind-CV Drops,Resistant Tuberculosis (TB) Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dqbgrwlwdytypuhltbca.jpg",Mankind Pharma Ltd,3.34,Drops
5519,Momesone Cream,Skin conditions with inflammation & itching,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vcfj7fgjxcyyff8k2hal.jpg",Intas Pharmaceuticals Ltd,3.34,Cream
5520,Risdone 3 Tablet,SchizophreniaTreatment Mania,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a9353d6ce15349aeb62381fa40c64087.jpg",Intas Pharmaceuticals Ltd,3.34,Tablet
5521,Metolar 50 Tablet,Hypertension (high blood pressure) Angina (heart-related chest pain) ArrhythmiaPrevention Heart attackPrevention Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/idm0h6aliwhtgqg0du6v.jpg",Cipla Ltd,3.34,Tablet
5522,TG-Tor F 160 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ther8wxvhd8leono9dlk.jpg",Torrent Pharmaceuticals Ltd,3.34,Tablet
5523,Renocrit 4000IU Injection,Anemia chronic kidney diseaseTreatment Anemia cancer chemotherapy,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ojocholxuaqhmwvjupkv.jpg",Cadell Healthcare Pvt Ltd,3.34,Injection
5524,Drez S Dusting Powder,Bacterial skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/behe7hougytdvyj9qesq.jpg",Stedman Pharmaceuticals Pvt Ltd,3.34,Powder
5525,Tripride 1 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/sa9llu2ztc0cweegevbb.jpg",Micro Labs Ltd,3.34,SR
5526,Gabaneuron NT Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/o8shqjt3qcjg4qvxj5qi.jpg",Aristo Pharmaceuticals Pvt Ltd,3.34,Tablet
5527,Verifica Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vz8kw3sxlzi8ncgubilk.jpg",Lupin Ltd,3.34,Tablet
5528,Vibanuron Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/7863a9a03a0047c1b94f422b539c8b7f.jpg",Viwacure Healthcare Pvt Ltd,3.34,Tablet
5529,Telzox-H 40mg/12.5mg Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/73bbe7c3f4f94517b0677e3e64218db7.jpg",Lloyd Healthcare Pvt Ltd,3.34,Tablet
5530,Ace Revelol 25/2.5 Tablet ER,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1b8c410198084fb4855c3a8eebd266a0.jpg",Ipca Laboratories Ltd,3.34,ER
5531,Domways 10mg Oral Drops,IndigestionTreatment NauseaTreatment Vomiting,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/fd95dd8aeaab4addb4f20264ca0ed208.jpg",Mankind Pharma Ltd,3.34,Drops
5532,Lorsaid SD 8 Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/bp4jv8i1ic8t4qsgaoej.jpg",Abbott,3.34,Tablet
5533,Asunra 400mg Tablet,Iron overload,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a957172970da4769a7986093fe26308a.jpg",Novartis India Ltd,3.34,Tablet
5534,Rosuvas F 5 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/mtlozzgwwjvkfqfxvm11.jpg",Sun Pharmaceutical Industries Ltd,3.34,Tablet
5535,Odimont-AL Tablet,Respiratory tract disorders associated with viscid mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/55b32e30c6ee4db6acbda6e6dfa6d2eb.jpg",Zydus Cadila,3.34,Tablet
5536,Glenpar 500mg Tablet,Pain reliefTreatment Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/78f1f2f59a454d0483c2350e28f5e593.jpg",Glenmark Pharmaceuticals Ltd,3.34,Tablet
5537,Azulix MV 2/0.2 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/094d44bd81a94c31bc8327659ae3239f.jpg",Torrent Pharmaceuticals Ltd,3.34,SR
